type,icon,x,y,z,comment,image,ytVideo,ytStart,ytEnd
powerup,stomp_damage,56186.504,-6318.295,2695.764,,,,,,,
powerup,translocator_damage,30992.191,-17753.068,114.381,,,,,,,
powerup,translocator_damage,40648.387,-8534.993,244.984,,,,,,,
powerup,stomp_damage,-9384.943,15697.395,2203.329,,,,,,,
powerup,gun_red_wood,38915.074,2977.303,-2236.360,,,,,,,
powerup,health,3309.159,2653.248,732.057,,,,,,,
powerup,gun_red_wood,7699.143,2459.703,-1165.341,,,,,,,
powerup,loot,25805.307,6084.840,-1321.848,,,,,,,
powerup,beam,38385.801,4383.169,-2279.529,,,,,,,
powerup,wallet,47847.480,-345.537,944.133,,,,,,,
powerup,wallet,9336.206,6220.007,2472.302,,,,,,,
powerup,wallet,-4490.004,16094.194,1179.539,,,,,,,
powerup,force_beam_upgrade,55521.762,-2214.835,537.518,,,,,,,
powerup,see_health_bar,37349.227,5446.614,-107.740,,,,,,,
powerup,stomp_damage,41877.316,-7659.135,219.055,,,,,,,
powerup,health,-5264.703,10272.834,1530.147,,,,,,,
powerup,health_regen_max,-5099.831,10272.834,1534.454,,,,,,,
powerup,see_enemy_health,5893.917,-711.405,95.512,,,,,,,
powerup,gun_upgrade,40916.781,-6696.264,-622.928,,,,,,,
powerup,stomp_damage,36309.801,2732.548,686.169,,,,,,,
powerup,stomp_damage,37856.363,6158.101,1580.446,,,,,,,
powerup,translocator_damage,7141.902,-3565.518,-1515.295,,,,,,,
powerup,gun_upgrade,3338.640,2885.390,719.284,,,,,,,
powerup,health_regen_max,3302.072,3120.079,716.505,,,,,,,
powerup,stomp_damage,44304.605,-9030.113,258.067,,,,,,,
powerup,health,27868.373,-14529.281,-507.933,,,,,,,
powerup,health,34281.875,-13596.292,16.556,,,,,,,
powerup,health,39753.602,-2695.055,978.298
powerup,health,48910.043,-12675.364,2925.927,,,,,,,
powerup,stomp_damage,43841.668,-8638.093,90.340,,,,,,,
powerup,stomp_damage,32053.070,3458.638,999.688,,,,,,,
powerup,stomp_damage,45474.148,-4111.295,-484.347,,,,,,,
powerup,gun_upgrade,34350.793,-312.454,-2696.900,,,,,,,
powerup,gun_upgrade,9948.396,-4616.714,-1516.211,,,,,,,
powerup,gun_upgrade,-130.999,11243.520,3023.718,,,,,,,
powerup,gun_upgrade,-2339.824,10751.730,1332.195,,,,,,,
powerup,health,45006.793,16231.714,1524.052,,,,,,,
powerup,health_regen_max,23504.736,-4660.424,-794.089,,,,,,,
powerup,health_regen_max,43748.184,14051.251,1524.052,,,,,,,
powerup,health_regen_speed,45868.148,7627.620,-1044.441,,,,,,,
powerup,health_regen_speed,55482.383,-18660.332,972.833,,,,,,,
powerup,health,40798.207,9741.689,-1105.806,,,,,,,
